Signal Legend:

Key        Signal Name

0        = ADCinterface_qsys:ADCinterface|streamtomem_d_in[15..0]
1        = ADCinterface_qsys:ADCinterface|write_master:write_master_0|ddr_writedata[15..0]
2        = ADCinterface_qsys:ADCinterface|write_master:write_master_0|ddr_addr[31..0]

Data Table:

Signals-> 0   1     2         

sample

446       255 00FFh 000030D5h 
447       254 00FFh 000030D5h 
448       255 00FFh 000030D5h 
449       45  00FFh 000030D5h 
450       8   00FFh 000030D5h 
451       8   00FFh 000030D5h 
452       8   00FFh 000030D5h 
453       8   00FFh 000030D5h 
454       8   00FFh 000030D5h 
455       8   00FFh 000030D5h 
456       8   00FFh 000030D5h 
457       8   00FFh 000030D5h 
458       8   00FFh 000030D5h 
459       8   00FFh 000030D5h 
460       8   00FFh 000030D5h 
461       8   00FFh 000030D5h 
462       8   00FFh 000030D5h 
463       8   00FFh 000030D5h 
464       8   00FFh 000030D5h 
465       8   00FFh 000030D5h 
466       8   00FFh 000030D5h 
467       8   00FFh 000030D5h 
468       8   00FFh 000030D5h 
469       8   00FFh 000030D5h 
470       8   00FFh 000030D5h 
471       8   00FFh 000030D5h 
472       8   00FFh 000030D5h 
473       8   00FFh 000030D5h 
474       234 00FFh 000030D5h 
475       255 00FFh 000030D5h 
476       255 00FFh 000030D5h 
477       255 00FFh 000030D5h 
478       255 00FFh 000030D5h 
479       255 00FFh 000030D5h 
480       254 00FFh 000030D5h 
481       255 00FFh 000030D5h 
482       255 00FFh 000030D5h 
483       255 00FFh 000030D5h 
484       255 00FFh 000030D5h 
485       255 00FFh 000030D5h 
486       255 00FFh 000030D5h 
487       255 00FFh 000030D5h 
488       255 00FFh 000030D5h 
489       254 00FFh 000030D5h 
490       255 00FFh 000030D5h 
491       255 00FFh 000030D5h 
492       255 00FFh 000030D5h 
493       255 00FFh 000030D5h 
494       255 00FFh 000030D5h 
495       255 00FFh 000030D5h 
496       255 00FFh 000030D5h 
497       255 00FFh 000030D5h 
498       255 00FFh 000030D5h 
499       45  00FFh 000030D5h 
500       8   00FFh 000030D5h 
501       8   00FFh 000030D5h 
502       8   00FFh 000030D5h 
503       8   00FFh 000030D5h 
504       8   00FFh 000030D5h 
505       8   00FFh 000030D5h 
506       8   00FFh 000030D5h 
507       8   00FFh 000030D5h 
508       8   00FFh 000030D5h 
509       8   00FFh 000030D5h 
510       8   00FFh 000030D5h 
511       8   00FFh 000030D5h 
512       8   00FFh 000030D5h 
513       8   00FFh 000030D5h 
514       8   00FFh 000030D5h 
515       8   00FFh 000030D5h 
516       8   00FFh 000030D5h 
517       8   00FFh 000030D5h 
518       8   00FFh 000030D5h 
519       8   00FFh 000030D5h 
520       8   00FFh 000030D5h 
521       8   00FFh 000030D5h 
522       8   00FFh 000030D5h 
523       8   00FFh 000030D5h 
524       234 00FFh 000030D5h 
525       255 00FFh 000030D5h 
526       255 00FFh 000030D5h 
527       255 00FFh 000030D5h 
528       255 00FFh 000030D5h 
529       255 00FFh 000030D5h 
530       255 00FFh 000030D5h 
531       255 00FFh 000030D5h 
532       255 00FFh 000030D5h 
533       255 00FFh 000030D5h 
534       255 00FFh 000030D5h 
535       255 00FFh 000030D5h 
536       255 00FFh 000030D5h 
537       255 00FFh 000030D5h 
538       255 00FFh 000030D5h 
539       255 00FFh 000030D5h 
540       255 00FFh 000030D5h 
541       255 00FFh 000030D5h 
542       255 00FFh 000030D5h 
543       255 00FFh 000030D5h 
544       255 00FFh 000030D5h 
545       255 00FFh 000030D5h 
546       255 00FFh 000030D5h 
547       254 00FFh 000030D5h 
548       255 00FFh 000030D5h 
549       44  00FFh 000030D5h 
550       8   00FFh 000030D5h 
551       8   00FFh 000030D5h 
552       8   00FFh 000030D5h 
553       8   00FFh 000030D5h 
554       8   00FFh 000030D5h 
555       8   00FFh 000030D5h 
556       8   00FFh 000030D5h 
557       8   00FFh 000030D5h 
558       8   00FFh 000030D5h 
559       8   00FFh 000030D5h 
560       8   00FFh 000030D5h 
561       8   00FFh 000030D5h 
562       8   00FFh 000030D5h 
563       8   00FFh 000030D5h 
564       8   00FFh 000030D5h 
565       8   00FFh 000030D5h 
566       8   00FFh 000030D5h 
567       8   00FFh 000030D5h 
568       8   00FFh 000030D5h 
569       8   00FFh 000030D5h 
570       8   00FFh 000030D5h 
571       8   00FFh 000030D5h 
572       8   00FFh 000030D5h 
573       8   00FFh 000030D5h 
574       232 00FFh 000030D5h 
575       255 00FFh 000030D5h 
576       255 00FFh 000030D5h 
577       255 00FFh 000030D5h 
578       255 00FFh 000030D5h 
579       255 00FFh 000030D5h 
580       255 00FFh 000030D5h 
581       255 00FFh 000030D5h 
582       255 00FFh 000030D5h 
583       255 00FFh 000030D5h 
584       255 00FFh 000030D5h 
585       255 00FFh 000030D5h 
586       255 00FFh 000030D5h 
587       255 00FFh 000030D5h 
588       255 00FFh 000030D5h 
589       255 00FFh 000030D5h 
590       255 00FFh 000030D5h 
591       255 00FFh 000030D5h 
592       255 00FFh 000030D5h 
593       255 00FFh 000030D5h 
594       254 00FFh 000030D5h 
595       255 00FFh 000030D5h 
596       254 00FFh 000030D5h 
597       254 00FFh 000030D5h 
598       254 00FFh 000030D5h 
599       45  00FFh 000030D5h 
600       8   00FFh 000030D5h 
601       8   00FFh 000030D5h 
602       8   00FFh 000030D5h 
603       8   00FFh 000030D5h 
604       8   00FFh 000030D5h 
605       8   00FFh 000030D5h 
606       8   00FFh 000030D5h 
607       8   00FFh 000030D5h 
608       8   00FFh 000030D5h 
609       8   00FFh 000030D5h 
610       8   00FFh 000030D5h 
611       8   00FFh 000030D5h 
612       8   00FFh 000030D5h 
613       8   00FFh 000030D5h 
614       8   00FFh 000030D5h 
615       8   00FFh 000030D5h 
616       8   00FFh 000030D5h 
617       8   00FFh 000030D5h 
618       8   00FFh 000030D5h 
619       8   00FFh 000030D5h 
620       8   00FFh 000030D5h 
621       8   00FFh 000030D5h 
622       8   00FFh 000030D5h 
623       8   00FFh 000030D5h 
624       234 00FFh 000030D5h 
625       255 00FFh 000030D5h 
626       255 00FFh 000030D5h 
627       255 00FFh 000030D5h 
628       255 00FFh 000030D5h 
629       254 00FFh 000030D5h 
630       254 00FFh 000030D5h 
631       255 00FFh 000030D5h 
632       255 00FFh 000030D5h 
633       255 00FFh 000030D5h 
634       255 00FFh 000030D5h 
635       255 00FFh 000030D5h 
636       255 00FFh 000030D5h 
637       255 00FFh 000030D5h 
638       255 00FFh 000030D5h 
639       255 00FFh 000030D5h 
640       255 00FFh 000030D5h 
641       254 00FFh 000030D5h 
642       255 00FFh 000030D5h 
643       255 00FFh 000030D5h 
644       255 00FFh 000030D5h 
645       255 00FFh 000030D5h 
646       255 00FFh 000030D5h 
647       255 00FFh 000030D5h 
648       255 00FFh 000030D5h 
649       44  00FFh 000030D5h 
650       8   00FFh 000030D5h 
651       8   00FFh 000030D5h 
652       8   00FFh 000030D5h 
653       8   00FFh 000030D5h 
654       8   00FFh 000030D5h 
655       8   00FFh 000030D5h 
656       8   00FFh 000030D5h 
657       8   00FFh 000030D5h 
658       8   00FFh 000030D5h 
659       8   00FFh 000030D5h 
660       8   00FFh 000030D5h 
661       8   00FFh 000030D5h 
662       8   00FFh 000030D5h 
663       8   00FFh 000030D5h 
664       8   00FFh 000030D5h 
665       8   00FFh 000030D5h 
666       8   00FFh 000030D5h 
667       8   00FFh 000030D5h 
668       8   00FFh 000030D5h 
669       8   00FFh 000030D5h 
670       8   00FFh 000030D5h 
671       8   00FFh 000030D5h 
672       8   00FFh 000030D5h 
673       8   00FFh 000030D5h 
674       234 00FFh 000030D5h 
675       255 00FFh 000030D5h 
676       255 00FFh 000030D5h 
677       255 00FFh 000030D5h 
678       255 00FFh 000030D5h 
679       255 00FFh 000030D5h 
680       255 00FFh 000030D5h 
681       255 00FFh 000030D5h 
682       255 00FFh 000030D5h 
683       255 00FFh 000030D5h 
684       254 00FFh 000030D5h 
685       255 00FFh 000030D5h 
686       255 00FFh 000030D5h 
687       255 00FFh 000030D5h 
688       255 00FFh 000030D5h 
689       255 00FFh 000030D5h 
690       255 00FFh 000030D5h 
691       255 00FFh 000030D5h 
692       254 00FFh 000030D5h 
693       255 00FFh 000030D5h 
694       255 00FFh 000030D5h 
695       255 00FFh 000030D5h 
696       255 00FFh 000030D5h 
697       254 00FFh 000030D5h 
698       255 00FFh 000030D5h 
699       44  00FFh 000030D5h 
700       8   00FFh 000030D5h 
701       8   00FFh 000030D5h 
702       8   00FFh 000030D5h 
703       8   00FFh 000030D5h 
704       8   00FFh 000030D5h 
705       8   00FFh 000030D5h 
706       8   00FFh 000030D5h 
707       8   00FFh 000030D5h 
708       8   00FFh 000030D5h 
709       8   00FFh 000030D5h 
710       8   00FFh 000030D5h 
711       8   00FFh 000030D5h 
712       8   00FFh 000030D5h 
713       8   00FFh 000030D5h 
714       8   00FFh 000030D5h 
715       8   00FFh 000030D5h 
716       8   00FFh 000030D5h 
717       8   00FFh 000030D5h 
718       8   00FFh 000030D5h 
719       8   00FFh 000030D5h 
720       8   00FFh 000030D5h 
721       8   00FFh 000030D5h 
722       8   00FFh 000030D5h 
723       8   00FFh 000030D5h 
724       234 00FFh 000030D5h 
725       255 00FFh 000030D5h 
726       255 00FFh 000030D5h 
727       255 00FFh 000030D5h 
728       255 00FFh 000030D5h 
729       255 00FFh 000030D5h 
730       255 00FFh 000030D5h 
731       255 00FFh 000030D5h 
732       255 00FFh 000030D5h 
733       255 00FFh 000030D5h 
734       255 00FFh 000030D5h 
735       255 00FFh 000030D5h 
736       255 00FFh 000030D5h 
737       255 00FFh 000030D5h 
738       255 00FFh 000030D5h 
739       255 00FFh 000030D5h 
740       255 00FFh 000030D5h 
741       255 00FFh 000030D5h 
742       255 00FFh 000030D5h 
743       255 00FFh 000030D5h 
744       255 00FFh 000030D5h 
745       255 00FFh 000030D5h 
746       255 00FFh 000030D5h 
747       255 00FFh 000030D5h 
748       255 00FFh 000030D5h 
749       44  00FFh 000030D5h 
750       8   00FFh 000030D5h 
751       8   00FFh 000030D5h 
752       8   00FFh 000030D5h 
753       8   00FFh 000030D5h 
754       8   00FFh 000030D5h 
755       8   00FFh 000030D5h 
756       8   00FFh 000030D5h 
757       8   00FFh 000030D5h 
758       8   00FFh 000030D5h 
759       8   00FFh 000030D5h 
760       8   00FFh 000030D5h 
761       8   00FFh 000030D5h 
762       8   00FFh 000030D5h 
763       8   00FFh 000030D5h 
764       8   00FFh 000030D5h 
765       8   00FFh 000030D5h 
766       8   00FFh 000030D5h 
767       8   00FFh 000030D5h 
768       8   00FFh 000030D5h 
769       8   00FFh 000030D5h 
770       8   00FFh 000030D5h 
771       8   00FFh 000030D5h 
772       8   00FFh 000030D5h 
773       8   00FFh 000030D5h 
774       234 00FFh 000030D5h 
775       255 00FFh 000030D5h 
776       254 00FFh 000030D5h 
777       255 00FFh 000030D5h 
778       255 00FFh 000030D5h 
779       255 00FFh 000030D5h 
780       255 00FFh 000030D5h 
781       255 00FFh 000030D5h 
782       255 00FFh 000030D5h 
783       255 00FFh 000030D5h 
784       255 00FFh 000030D5h 
785       255 00FFh 000030D5h 
786       255 00FFh 000030D5h 
787       255 00FFh 000030D5h 
788       255 00FFh 000030D5h 
789       255 00FFh 000030D5h 
790       255 00FFh 000030D5h 
791       255 00FFh 000030D5h 
792       255 00FFh 000030D5h 
793       255 00FFh 000030D5h 
794       255 00FFh 000030D5h 
795       255 00FFh 000030D5h 
796       255 00FFh 000030D5h 
